"group_id","year","colony","colony_old","latitude","longitude","region","species","count","notes"
56,2004,hidden_north,Hidden North,25.776917,-80.842633,3as,anhi,8,
56,2004,hidden_north,Hidden North,25.776917,-80.842633,3as,bcnh,383,
56,2004,hidden_north,Hidden North,25.776917,-80.842633,3as,lbhe,4,
56,2004,hidden_north,Hidden North,25.776917,-80.842633,3as,sneg,787,
56,2004,hidden_north,Hidden North,25.776917,-80.842633,3as,trhe,4,
56,2011,hidden_north,Hidden North,25.773533,-80.837217,3as,greg,137,
56,2011,hidden_north,Hidden North,25.773533,-80.837217,3as,whib,400,
57,1999,hidden,Hidden,25.772667,-80.837333,3as,anhi,18,
57,1999,hidden,Hidden,25.772667,-80.837333,3as,bcnh,427,
57,1999,hidden,Hidden,25.772667,-80.837333,3as,greg,300,
57,1999,hidden,Hidden,25.772667,-80.837333,3as,lbhe,3,
57,1999,hidden,Hidden,25.772667,-80.837333,3as,smhe,598,
57,1999,hidden,Hidden,25.772667,-80.837333,3as,sneg,246,
57,1999,hidden,Hidden,25.772667,-80.837333,3as,whib,97,
57,2000,hidden,Hidden,25.772667,-80.837333,3as,anhi,38,
57,2000,hidden,Hidden,25.772667,-80.837333,3as,bcnh,873,
57,2000,hidden,Hidden,25.772667,-80.837333,3as,greg,283,
57,2000,hidden,Hidden,25.772667,-80.837333,3as,sneg,1349,
57,2000,hidden,Hidden,25.772667,-80.837333,3as,whib,142,
57,2001,hidden,Hidden,25.772667,-80.837333,3as,anhi,67,
57,2001,hidden,Hidden,25.772667,-80.837333,3as,bcnh,800,
57,2001,hidden,Hidden,25.772667,-80.837333,3as,greg,200,
57,2001,hidden,Hidden,25.772667,-80.837333,3as,sneg,600,
57,2002,hidden,Hidden,25.772667,-80.837333,3as,anhi,40,
57,2002,hidden,Hidden,25.772667,-80.837333,3as,bcnh,5,
57,2002,hidden,Hidden,25.772667,-80.837333,3as,greg,400,
57,2002,hidden,Hidden,25.772667,-80.837333,3as,sneg,432,
57,2002,hidden,Hidden,25.772667,-80.837333,3as,trhe,873,
57,2002,hidden,Hidden,25.772667,-80.837333,3as,whib,500,
57,2003,hidden,Hidden,25.772667,-80.837333,3as,bcnh,594,
57,2003,hidden,Hidden,25.772667,-80.837333,3as,greg,205,
57,2003,hidden,Hidden,25.772667,-80.837333,3as,lbhe,23,
57,2003,hidden,Hidden,25.772667,-80.837333,3as,sneg,70,
57,2003,hidden,Hidden,25.772667,-80.837333,3as,whib,489,
57,2004,hidden,Hidden,25.772667,-80.837333,3as,anhi,150,
57,2004,hidden,Hidden,25.772667,-80.837333,3as,bcnh,685,
57,2004,hidden,Hidden,25.772667,-80.837333,3as,greg,165,
57,2004,hidden,Hidden,25.772667,-80.837333,3as,sneg,1160,
57,2004,hidden,Hidden,25.772667,-80.837333,3as,whib,2480,
57,2005,hidden,Hidden,25.772667,-80.837333,3as,anhi,10,
57,2005,hidden,Hidden,25.772667,-80.837333,3as,greg,38,
57,2005,hidden,Hidden,25.772667,-80.837333,3as,whib,63,
57,2006,hidden,Hidden,25.772667,-80.837333,3as,greg,300,
57,2006,hidden,Hidden,25.772667,-80.837333,3as,whib,1868,
57,2007,hidden,Hidden,25.773533,-80.837217,3as,greg,15,
57,2007,hidden,Hidden,25.773533,-80.837217,3as,smhe,73,
57,2007,hidden,Hidden,25.773533,-80.837217,3as,sneg,1,
57,2007,hidden,Hidden,25.773533,-80.837217,3as,whib,46,
57,2008,hidden,Hidden,25.773533,-80.837217,3as,greg,30,
57,2009,hidden,Hidden,25.773533,-80.837217,3as,greg,710,
57,2009,hidden,Hidden,25.773533,-80.837217,3as,whib,8573,
57,2010,hidden,Hidden,25.773533,-80.837217,3as,bcnh,150,
57,2010,hidden,Hidden,25.773533,-80.837217,3as,greg,63,
57,2010,hidden,Hidden,25.773533,-80.837217,3as,whib,450,
57,2012,hidden,Hidden,25.773533,-80.837217,3as,greg,200,
57,2013,hidden,Hidden,25.773533,-80.837217,3as,greg,65,
57,2014,hidden,Hidden,25.773533,-80.837217,3as,greg,60,"1s indicate presence"
57,2014,hidden,Hidden,25.773533,-80.837217,3as,trhe,1,"1s indicate presence"
57,2015,hidden,Hidden,25.77353,-80.83722,3as,anhi,100,
57,2015,hidden,Hidden,25.77353,-80.83722,3as,greg,100,
57,2016,hidden,Hidden,25.77353,-80.83722,3as,greg,50,
57,2017,hidden,Hidden,25.77353,-80.83722,3as,greg,77,
57,2018,hidden,Hidden,25.77353,-80.83722,3as,gbhe,3,
57,2018,hidden,Hidden,25.77353,-80.83722,3as,greg,654,
57,2020,hidden,Hidden,25.77353,-80.83722,3as,greg,62,
57,2020,hidden,Hidden,25.77353,-80.83722,3as,rosp,1,
57,2021,hidden,Hidden,25.77353,-80.83722,3as,bcnh,1,
57,2021,hidden,Hidden,25.77353,-80.83722,3as,greg,256,
57,2021,hidden,Hidden,25.77353,-80.83722,3as,lbhe,52,
57,2021,hidden,Hidden,25.77353,-80.83722,3as,rosp,4,
57,2021,hidden,Hidden,25.77353,-80.83722,3as,sneg,90,
57,2021,hidden,Hidden,25.77353,-80.83722,3as,trhe,78,
57,2021,hidden,Hidden,25.77353,-80.83722,3as,whib,5636,
58,2013,58,163,25.77328,-80.833385,3as,whib,2086,
58,2014,58,163,25.77328,-80.833385,3as,whib,200,
162,2001,aerie,Aerie,25.771667,-80.708333,3as,gbhe,1,
162,2001,aerie,Aerie,25.771667,-80.708333,3as,gbhe,1,
162,2001,aerie,Aerie,25.771667,-80.708333,3as,gbhe,1,
162,2001,aerie,Aerie,25.771667,-80.708333,3as,gbhe,1,
162,2003,aerie,Aerie,25.771967,-80.70925,3as,gbhe,1,
162,2007,aerie,Aerie,25.771583,-80.708717,3as,gbhe,2,
162,2007,aerie,Aerie,25.771583,-80.708717,3as,greg,38,
162,2009,aerie,Aerie,25.771583,-80.708717,3as,greg,24,
162,2010,aerie,Aerie,25.771583,-80.708717,3as,greg,9,
162,2011,aerie,Aerie,25.771583,-80.708717,3as,greg,61,
162,2011,aerie,Aerie,25.771583,-80.708717,3as,sneg,165,
162,2014,aerie,Aerie,25.77158,-80.70872,3as,greg,20,
162,2017,aerie,Aerie,25.77158,-80.70872,3as,greg,69,
162,2018,aerie,Aerie,25.77158,-80.70872,3as,greg,82,
162,2020,aerie,Aerie,25.77158,-80.70872,3as,greg,24,
162,2021,aerie,Aerie,25.77158,-80.70872,3as,greg,35,
174,1997,little_d,Little D,25.77175,-80.69335,3as,anhi,7,
174,1997,little_d,Little D,25.77175,-80.69335,3as,gbhe,1,
174,1997,little_d,Little D,25.77175,-80.69335,3as,greg,3,
174,1999,little_d,Little D,25.7718,-80.692933,3as,anhi,30,
174,1999,little_d,Little D,25.7718,-80.692933,3as,gbhe,2,
174,1999,little_d,Little D,25.7718,-80.692933,3as,greg,12,
174,2000,little_d,Little D,25.7712,-80.693483,3as,anhi,15,
174,2000,little_d,Little D,25.7712,-80.693483,3as,gbhe,2,
174,2000,little_d,Little D,25.7712,-80.693483,3as,greg,6,
174,2001,little_d,Little D,25.771333,-80.6935,3as,anhi,30,
174,2001,little_d,Little D,25.771333,-80.6935,3as,gbhe,1,
174,2001,little_d,Little D,25.771333,-80.6935,3as,greg,10,
174,2002,little_d,Little D,25.7711,-80.69355,3as,anhi,62,
174,2002,little_d,Little D,25.7711,-80.69355,3as,greg,80,
174,2002,little_d,Little D,25.771367,-80.693483,3as,greg,60,
174,2003,little_d,Little D,25.771167,-80.693333,3as,greg,23,
174,2003,little_d,Little D,25.7715,-80.693433,3as,greg,70,
174,2003,little_d,Little D,25.771783,-80.693017,3as,anhi,25,
174,2003,little_d,Little D,25.771783,-80.693017,3as,gbhe,4,
174,2003,little_d,Little D,25.771783,-80.693017,3as,greg,30,
174,2004,little_d,Little D,25.771167,-80.693333,3as,greg,65,
174,2005,little_d,Little D,25.77155,-80.693867,3as,anhi,36,
174,2005,little_d,Little D,25.77155,-80.693867,3as,bcnh,1,
174,2005,little_d,Little D,25.77155,-80.693867,3as,gbhe,1,
174,2005,little_d,Little D,25.77155,-80.693867,3as,greg,24,
174,2006,little_d,Little D,25.771667,-80.693167,3as,anhi,80,
174,2006,little_d,Little D,25.771667,-80.693167,3as,greg,80,
174,2007,little_d,Little D,25.7712,-80.693017,3as,greg,24,
174,2007,little_d,Little D,25.7712,-80.693017,3as,sneg,1,
174,2009,little_d,Little D,25.7712,-80.69301,3as,greg,25,
174,2011,little_d,Little D,25.7712,-80.693017,3as,greg,15,"PREVIOUSLY DONE AS 877 (15 BCNH/5 NESTS)"
174,2012,little_d,Little D,25.7712,-80.693017,3as,greg,40,
174,2012,little_d,Little D,25.7712,-80.69301,3as,greg,4,
174,2014,little_d,Little D,25.771454,-80.693491,3as,anhi,7,
174,2020,little_d,Little D,25.7712,-80.69301,3as,greg,7,
174,2021,little_d,Little D,25.7712,-80.69301,3as,gbhe,1,
174,2021,little_d,Little D,25.7712,-80.69301,3as,greg,32,
217,2007,auster,AUSTER,25.779817,-80.613117,3b,anhi,17,
217,2007,auster,AUSTER,25.779817,-80.613117,3b,greg,28,
217,2007,auster,AUSTER,25.779817,-80.613117,3b,smhe,1,
217,2009,auster,AUSTER,25.779817,-80.613117,3b,gbhe,2,
217,2009,auster,AUSTER,25.779817,-80.613117,3b,greg,33,
217,2018,auster,Austere,25.77982,-80.61312,3b,greg,75,
218,2002,218,362,25.780833,-80.6545,3b,greg,45,
221,2009,brahma,BRAHMA,25.7816,-80.6886,3as,gbhe,1,
221,2009,brahma,BRAHMA,25.7816,-80.6886,3as,greg,42,
221,2010,brahma,BRAHMA,25.7816,-80.6886,3as,gbhe,1,
221,2010,brahma,BRAHMA,25.7816,-80.6886,3as,greg,34,
221,2011,brahma,Brahma,25.7816,-80.6886,3as,greg,20,
330,2009,brodin,Brodin,25.78654,-80.84958,3as,greg,64,
330,2009,brodin,Brodin,25.78654,-80.84958,3as,whib,171,
332,2009,buddha,Budda,25.79073,-80.8539,3as,greg,78,
422,1994,mud_east,3B Mud East,25.797067,-80.490717,3b,greg,18,
422,1994,mud_east,3B Mud East,25.797067,-80.490717,3b,trhe,5,
422,1995,mud_east,3B Mud East,25.796917,-80.49445,3b,greg,66,
422,1996,mud_east,3B Mud East,25.799783,-80.494,3b,greg,128,
422,1996,mud_east,3B Mud East,25.799783,-80.494,3b,lbhe,10,
422,1997,mud_east,3B Mud East,25.797067,-80.490717,3b,caeg,120,
422,1997,mud_east,3B Mud East,25.797067,-80.490717,3b,greg,80,
422,1997,mud_east,3B Mud East,25.797067,-80.490717,3b,whib,50,
422,1998,mud_east,3B Mud East,25.797,-80.4945,3b,greg,100,
422,1999,mud_east,3B Mud East,25.797,-80.4945,3b,anhi,10,
422,1999,mud_east,3B Mud East,25.797,-80.4945,3b,gbhe,6,
422,1999,mud_east,3B Mud East,25.797,-80.4945,3b,greg,130,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,anhi,300,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,bcnh,25,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,gbhe,4,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,greg,35,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,grhe,16,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,lbhe,5,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,trhe,24,
422,1999,mud_east,3B Mud East,25.797267,-80.498317,3b,whib,4,
422,2000,mud_east,3B Mud East,25.801333,-80.49,3b,anhi,40,
422,2000,mud_east,3B Mud East,25.801333,-80.49,3b,bcnh,9,
