year,region,species,count
1890,all,bcnh,
1890,all,caeg,
1890,all,cerp,123000
1890,all,gbhe,
1890,all,glib,
1890,all,greg,5000
1890,all,lbhe,3000
1890,all,rosp,
1890,all,sneg,10000
1890,all,total,141000
1890,all,tric,15000
1890,all,unid,
1890,all,whib,100000
1890,all,wost,8000
1931,all,bcnh,
1931,all,caeg,
1931,all,cerp,0
1931,all,gbhe,
1931,all,glib,
1931,all,greg,
1931,all,lbhe,
1931,all,rosp,
1931,all,sneg,
1931,all,total,52500
1931,all,tric,
1931,all,unid,
1931,all,whib,
1931,all,wost,
1932,all,bcnh,
1932,all,caeg,
1932,all,cerp,0
1932,all,gbhe,
1932,all,glib,
1932,all,greg,
1932,all,lbhe,
1932,all,rosp,
1932,all,sneg,
1932,all,total,22500
1932,all,tric,
1932,all,unid,
1932,all,whib,
1932,all,wost,
1933,all,bcnh,
1933,all,caeg,
1933,all,cerp,0
1933,all,gbhe,
1933,all,glib,
1933,all,greg,
1933,all,lbhe,
1933,all,rosp,
1933,all,sneg,
1933,all,total,207500
1933,all,tric,
1933,all,unid,
1933,all,whib,
1933,all,wost,
1934,all,bcnh,
1934,all,caeg,
1934,all,cerp,118000
1934,all,gbhe,
1934,all,glib,
1934,all,greg,4000
1934,all,lbhe,2500
1934,all,rosp,
1934,all,sneg,10000
1934,all,total,220000
1934,all,tric,15000
1934,all,unid,
1934,all,whib,100000
1934,all,wost,4000
1935,all,bcnh,
1935,all,caeg,
1935,all,cerp,0
1935,all,gbhe,
1935,all,glib,
1935,all,greg,
1935,all,lbhe,
1935,all,rosp,
1935,all,sneg,
1935,all,total,5000
1935,all,tric,
1935,all,unid,
1935,all,whib,
1935,all,wost,
1936,all,bcnh,
1936,all,caeg,
1936,all,cerp,0
1936,all,gbhe,
1936,all,glib,
1936,all,greg,
1936,all,lbhe,
1936,all,rosp,
1936,all,sneg,
1936,all,total,30000
1936,all,tric,
1936,all,unid,
1936,all,whib,
1936,all,wost,
1937,all,bcnh,
1937,all,caeg,
1937,all,cerp,672
1937,all,gbhe,
1937,all,glib,
1937,all,greg,
1937,all,lbhe,
1937,all,rosp,
1937,all,sneg,
1937,all,total,35000
1937,all,tric,
1937,all,unid,
1937,all,whib,
1937,all,wost,672
1938,all,bcnh,
1938,all,caeg,
1938,all,cerp,0
1938,all,gbhe,
1938,all,glib,
1938,all,greg,
1938,all,lbhe,
1938,all,rosp,
1938,all,sneg,
1938,all,total,3000
1938,all,tric,
1938,all,unid,
1938,all,whib,
1938,all,wost,
1939,all,bcnh,
1939,all,caeg,
1939,all,cerp,0
1939,all,gbhe,
1939,all,glib,
1939,all,greg,
1939,all,lbhe,
1939,all,rosp,
1939,all,sneg,
1939,all,total,0
1939,all,tric,
1939,all,unid,
1939,all,whib,
1939,all,wost,
1940,all,bcnh,
1940,all,caeg,
1940,all,cerp,66000
1940,all,gbhe,
1940,all,glib,
1940,all,greg,4000
1940,all,lbhe,2500
1940,all,rosp,
1940,all,sneg,10000
1940,all,total,75000
1940,all,tric,15000
1940,all,unid,
1940,all,whib,48000
1940,all,wost,4000
1941,all,bcnh,
1941,all,caeg,
1941,all,cerp,0
1941,all,gbhe,
1941,all,glib,
1941,all,greg,
1941,all,lbhe,
1941,all,rosp,
1941,all,sneg,
1941,all,total,70000
1941,all,tric,
1941,all,unid,
1941,all,whib,
1941,all,wost,
1946,all,bcnh,
1946,all,caeg,
1946,all,cerp,0
1946,all,gbhe,
1946,all,glib,
1946,all,greg,
1946,all,lbhe,
1946,all,rosp,
1946,all,sneg,
1946,all,total,12500
1946,all,tric,
1946,all,unid,
1946,all,whib,
1946,all,wost,
1975,all,bcnh,
1975,all,caeg,
1975,all,cerp,22736
1975,all,gbhe,
1975,all,glib,
1975,all,greg,3250
1975,all,lbhe,2000
1975,all,rosp,
1975,all,sneg,5200
1975,all,total,28236
1975,all,tric,3500
1975,all,unid,
1975,all,whib,12956
1975,all,wost,1330
1975,enp,bcnh,
1975,enp,caeg,
1975,enp,cerp,
1975,enp,gbhe,
1975,enp,glib,
1975,enp,greg,
1975,enp,lbhe,
1975,enp,rosp,
1975,enp,sneg,
1975,enp,total,
1975,enp,tric,
1975,enp,unid,
1975,enp,whib,
1975,enp,wost,
1975,loxahatchee,bcnh,
1975,loxahatchee,caeg,
1975,loxahatchee,cerp,
1975,loxahatchee,gbhe,
1975,loxahatchee,glib,
1975,loxahatchee,greg,
1975,loxahatchee,lbhe,
1975,loxahatchee,rosp,
1975,loxahatchee,sneg,
1975,loxahatchee,total,
1975,loxahatchee,tric,
1975,loxahatchee,unid,
1975,loxahatchee,whib,
1975,loxahatchee,wost,
1975,wca2-3,bcnh,
1975,wca2-3,caeg,
1975,wca2-3,cerp,
1975,wca2-3,gbhe,
1975,wca2-3,glib,
1975,wca2-3,greg,
1975,wca2-3,lbhe,
1975,wca2-3,rosp,
1975,wca2-3,sneg,
1975,wca2-3,total,
1975,wca2-3,tric,
1975,wca2-3,unid,
1975,wca2-3,whib,
1975,wca2-3,wost,
1975,wcas,bcnh,0
1975,wcas,caeg,0
1975,wcas,cerp,0
1975,wcas,gbhe,0
1975,wcas,glib,0
1975,wcas,greg,0
1975,wcas,lbhe,0
1975,wcas,rosp,0
1975,wcas,sneg,0
1975,wcas,total,0
1975,wcas,tric,0
1975,wcas,unid,0
1975,wcas,whib,0
1975,wcas,wost,0
