Year,Flight_first_nest_obs,Previous_flight,Colony_sheet,source,date_score,stage,notes
1997,1997-02-28,1997-02-05,Tamiami West,sfwbr,2,nests,began nesting by late February. Both UF and ENP monitored this colony. ENP flew it 'early Feb' and reported nothing
1997,1997-03-24,1997-02-05,Paurotis Pond,sfwbr,2,unknown,"ENP reported flight data in Feb as ""early Feb"". No flights between early feb and late march. With little extra information, used indicator value since usually nesting in south earlier than tamiamia/WCA3"
1997,1997-03-24,1997-02-05,Rogers River Bay,sfwbr,2,unknown,"ENP reported flight data in Feb as ""early Feb"". No flights between early feb and late march. With little extra information, used indicator value since usually nesting in south earlier than tamiamia/WCA3"
1998,1998-04-21,1998-02-16,Paurotis Pond,sfwbr,0,nests,"no flights were conducted between Feb and April because of a late start to nesting. Without further information, used indicator date"
1999,1999-03-05,,Paurotis Pond,sfwbr,1.5,initiating,first flight was 3/5. 2000 report says nesting initiated in  late Feb/early march
1999,1999-03-05,,Rogers River Bay,sfwbr,1.5,initiating,first flight was 3/5.
1999,1999-02-15,,Tamiami West,sfwbr,2,unknown,started in Feb' so I assigned mid Feb. UF colony.
1999,1999-02-15,,Crossover,sfwbr,2,unknown,started in Feb' so I assigned mid Feb. UF colony.
1999,1999-02-15,,2B stork,sfwbr,2,unknown,started in Feb' so I assigned mid Feb. UF colony.
2000,2000-02-15,,Tamiami West,sfwbr,2,unknown,"""Wood storks nested early (February)"" I chose mid-Feb"
2000,2000-02-15,,Crossover,sfwbr,2,unknown,"""Wood storks nested early (February)"" I chose mid-Feb"
2000,2000-02-15,,Jetport new,sfwbr,2,unknown,"""Wood storks nested early (February)"" I chose mid-Feb"
2001,2001-04-04,,1083,sfwbr,0.5,unknown,2 weeks from fledging on June 7th. Only second time in LOX history. Date estimated by Lindsey from description
2002,2001-12-12,,Corkscrew Swamp,sfwbr,4,,BCNP
2004,2004-04-21,2004-03-12,2004 new colony3,sfwbr,0.5,unknown,"nests seen in April 21 flight, but not March 12"
2004,2004-04-21,2004-03-12,2004 new colony8,sfwbr,0.5,unknown,"nests seen in April 21 flight, but not March 12"
2004,2004-03-15,2004-02-15,Tamiami West,sfwbr,1.5,unknown,"""nesting in late Feb"" Flights took place ~15th of every month. I chose mid point"
2004,2004-03-15,2004-02-15,Crossover,sfwbr,1.5,unknown,"""nesting in late Feb"" Flights took place ~15th of every month"
2005,2005-04-08,2005-03-30,Rogers River Bay,sfwbr,0.5,unknown,8 nests initiated by April 8th
2005,2005-03-30,2005-02-15,Cuthbert,sfwbr,1.5,unknown,nest initiated by march 30th. Young storks on and off nests early June (Jun3rd?). Balck calculating gets us closer to early march
2005,2005-02-16,,Tamiami West,obs_aerial,2,unknown,10% nesting. SFWBR says no evidence nesting started before Feb in any colony
2005,2005-02-16,,3B Mud East,obs_aerial,2,unknown,25/30 or 30/50 nesting;  SFWBR says no evidence nesting started before Feb in any colony
2005,2005-02-15,2005-01-24,Paurotis Pond,sfwbr,2.5,unknown,"""earliest start of the ENP colonies"". 8 nests observed feb 15. Midpoint between flights is 2/4 or early feb"
2006,2006-04-17,2006-03-14,Crossover,UF_flight_sheets,0.5,unknown,id'd as crossover in the notes in march. SFWBR says initiated in Feb. went with late feb
2006,2006-02-15,,Tamiami West,UF_flight_sheets,2,unknown,"30 nests, ""initiated in feb"""
2006,2006-02-15,,3B Mud East,UF_flight_sheets,2,unknown,"12 nests, ""intitiated in Feb"""
2008,2008-03-17,,Cuthbert,sfwbr,0.5,nest starts,notes says nest starts visible on the date they visited. Impression that these were the leading individuals at those colonies
2008,2008-02-20,,Paurotis Pond,sfwbr,1.5,nest starts,notes says nest starts visible on the date they visited. Impression that these were the leading individuals at those colonies. 70 nests by march 3
2009,2009-03-16,2009-02-16,Jetport,UF_digital_image_and_obs_counts,1.5,unknown,chose midpoint
2009,2009-03-21,2009-02-20,Lox New Colony 4,UF_digital_image_and_obs_counts,1.5,unknown,chose midpoint
2009,2009-02-16,,Tamiami East 2,UF_digital_image_and_obs_counts,2,unknown,
2009,2009-02-16,,Crossover,UF_digital_image_and_obs_counts,2,unknown,
2009,2009-01-26,,Tamiami West,sfwbr,2.5,nest starts,standing on nest starts
2009,2009-01-26,,Cuthbert,sfwbr,2.5,nest starts,standing on nest starts
2009,2009-01-26,,Paurotis Pond,sfwbr,2.5,nest starts,standing on nest starts
2009,2009-01-26,,Rogers River Bay,sfwbr,2.5,nest starts,standing on nest starts
2010,2010-02-18,,Tamiami West,UF_flight_sheets,2,nest starts,
2010,2010-01-28,,Cuthbert,,2,nest starts,
2010,2010-01-28,,Grossman Ridge West,,2,nest starts,
2010,2010-01-28,,Paurotis Pond,sfwbr,2.5,incubating,
2010,2010-01-28,,Rogers River Bay,sfwbr,2.5,incubating,
2011,2011-04-18,2011-03-21,Jetport South,UF_flight_sheets,0.5,unknown,not mentioned in march flight
2011,2011-04-19,2011-03-22,Kinich,UF_flight_sheets,0.5,unknown,conflict between observors but the 0 count was uncertain and thought might be nests. 
2011,2011-02-19,,Tamiami West,UF_flight_sheets,2,unknown,initiated nests in February
2012,2012-03-14,2012-02-17,Tamiami West,UF_flight_sheets,0.5,unknown,"separate nesting and roosting not given in 2012; sfwbr said ""late March"""
2012,2012-03-27,2012-02-29,Paurotis Pond,sfwbr,1,unknown,"""mid-March"""
2012,2012-03-27,2012-02-29,Cuthbert,sfwbr,1,unknown,majority of stork colonies no incubation or building until March 27
2012,2012-02-29,,Rogers River Bay,sfwbr,1.5,nest starts,
2013,2013-03-25,2013-02-19,Jetport South,UF_flight_sheets,1.5,unknown,midpoint between flights chosen
2013,2013-03-25,2013-02-19,Jetport,UF_flight_sheets,1.5,unknown,chose midpoint
2013,2013-01-30,2013-01-18,Paurotis Pond,sfwbr,2.5,unknown,active nests when checked on Jan 29 & 31
2013,2013-01-30,2013-01-18,Cuthbert,sfwbr,2.5,unknown,active nests when checked on Jan 29 & 31
2013,2013-02-19,,Tamiami West,UF_flight_sheets,2,unknown,chose midpoint
2013,2013-01-18,,Rogers River Bay,sfwbr,3.5,incubating,"ENP saw 100 nests, incbating and eggs, assume start happened earlier given activity level reported"
2014,2014-03-20,2014-03-03,Cuthbert,sfwbr,0.5,"paired,  nest starts",
2014,2014-03-20,2014-03-03,Cabbage Bay,sfwbr,1,incubating,
2014,2014-02-11,,Jetport South,sfwbr,1.5,unknown,first wave of egg laying started in late February; flight date from UF aerial sheets
2014,2014-02-11,,Jetport,UF_flight_sheets,2,unknown,
2014,2014-01-30,,Grossman Ridge West,sfwbr,2.5,"paired, nest starts",
2014,2014-01-30,,Lostmans Creek,sfwbr,2.5,"paired,  nest starts",
2014,2014-01-30,,Tamiami West,sfwbr,2.5,nest starts,
2014,2014-01-30,,Paurotis Pond,sfwbr,3, incubating,
2014,2014-01-30,,Broad River,sfwbr,3, incubating,
2014,2014-01-30,,Rogers River Bay,sfwbr,3, incubating,
2015,2015-03-23,,Cuthbert,sfwbr,0.5,initiating,
2015,2015-03-23,,Paurotis Pond,sfwbr,0.5,incubating,
2015,2015-02-27,,Broad River,sfwbr,1.5,incubating,
2015,2015-02-27,,Cabbage Bay,sfwbr,1.5,incubating,
2015,2015-02-27,2015-01-28,Tamiami West,sfwbr,2.5,small young,"ENP saw small young in nests. Incubating is about 1 month, so assume late January, early feb egg lay"
