station,communitytype,community,ave_elevation,max_elevation,min_elevation,measurements,agency,date
2A300,Major,Wet prairie,8.7,8.93,8.52,6,USGS, August 2005
2A300,Secondary,Ridge or sawgrass and emergent marsh,9.56,9.7,9.48,3,USGS, August 2005
3A-5,Major,Wet prairie,7.71,8.07,7.45,6,USGS, Sept. 2007
3A-5,Secondary,Ridge or sawgrass and emergent marsh,8.36,8.43,8.3,3,USGS, Sept. 2007
3A10,Major,Exotics and cattail,9.13,9.24,8.95,6,USGS, August 2005
3A11,Major,Wet prairie,9.85,9.98,9.7,6,USGS, August 2005
3A11,Secondary,Ridge or sawgrass and emergent marsh,9.53,9.63,9.45,3,USGS, August 2005
3A12,Major,Wet prairie,7.86,8.02,7.76,6,USGS, August 2005
3A12,Secondary,Ridge or sawgrass and emergent marsh,7.74,7.85,7.6,3,USGS, August 2005
3A9,Major,Slough or open water,8.19,8.28,8.09,6,USGS, August 2005
3A9,Secondary,Ridge or sawgrass and emergent marsh,8.38,8.71,8.19,3,USGS, August 2005
3AN1W1,Major,Wet prairie,8.79,8.96,8.68,6,USGS, August 2005
3AN1W1,Secondary,Ridge or sawgrass and emergent marsh,8.77,8.88,8.65,3,USGS, August 2005
3ANE,Major,Exotics and cattail,8.42,8.58,8.23,6,USACE, October 2009
3ANE,Secondary,Ridge or sawgrass and emergent marsh,9,9.19,8.83,3,USGS, August 2005
3ANE_GW,Major,Exotics and cattail,8.42,8.58,8.23,6,USACE, October 2009
3ANE_GW,Secondary,Ridge or sawgrass and emergent marsh,9,9.19,8.83,3,USGS, August 2005
3ANW,Major,Slough or open water,9.86,10.08,9.76,6,USGS, October 2007
3ANW,Secondary,Ridge or sawgrass and emergent marsh,10.12,10.25,10.02,3,USGS, October 2007
3ANW_GW,Major,Slough or open water,9.86,10.08,9.76,6,USGS, October 2007
3ANW_GW,Secondary,Ridge or sawgrass and emergent marsh,10.12,10.25,10.02,3,USGS, October 2007
3AS,Major,Slough or open water,7.85,8.07,7.65,6,USGS, August 2005
3AS,Secondary,Ridge or sawgrass and emergent marsh,8.38,8.47,8.21,3,USGS, August 2005
3AS3W1,Major,Ridge or sawgrass and emergent marsh,7.48,7.83,7.12,6,USGS, August 2005
3AS3W1,Secondary,Slough or open water,6.3,6.42,6.08,3,USGS, August 2005
3ASW,Major,Wet prairie,7.87,7.92,7.77,6,USGS, August 2005
3ASW,Secondary,Ridge or sawgrass and emergent marsh,7.42,7.52,7.32,3,USGS, August 2005
3B-SE,Major,Wet prairie,3.86,4,3.79,6,USGS, August 2005
3B-SE,Secondary,Ridge or sawgrass and emergent marsh,3.51,4.12,2.9,3,USGS, August 2005
3BS1W1,Major,Wet prairie,3.83,3.89,3.78,6,USGS, August 2005
3BS1W1,Secondary,Ridge or sawgrass and emergent marsh,4.14,4.28,4.04,3,USGS, August 2005
A13,Major,Ridge or sawgrass and emergent marsh,3.24,3.31,3.17,6,ENP, July 2007
ANGEL,Major,N/A,4.73,,,1,SFWMD,
BARW4,Major,Canal,,,,,USACE, October 2009
BARW6A,Major,Canal,,,,,USACE, October 2009
BCA1,Major,Slough or open water,12.71,12.88,12.38,10,BCNP, June 2010
BCA1,Secondary,Ridge or sawgrass and emergent marsh,12.41,12.48,12.38,3,BCNP, June 2010
BCA10,Major,Other (mostly wetland shrub and wetland forested),2.07,2.23,1.92,6,USGS, July 2007
BCA10,Secondary,Wet prairie,1.61,1.76,1.49,3,USGS, July 2007
BCA11,Major,Canal,2.86,2.88,2.85,6,USGS, July 2007
BCA12,Major,Other (mostly wetland shrub and wetland forested),12.08,12.43,11.48,6,USGS, July 2007
BCA12,Secondary,Upland,,,,,USGS, July 2007
BCA13,Major,Other (mostly wetland shrub and wetland forested),10.71,10.83,10.5,6,USGS, July 2007
BCA13,Secondary,Upland,,,,,USGS, July 2007
BCA14,Major,Wet prairie,8.55,8.96,8.14,6,USGS, July 2007
BCA14,Secondary,Upland,,,,,USGS, July 2007
BCA15,Major,Other (mostly wetland shrub and wetland forested),9.57,9.66,9.46,5,USGS, July 2007
BCA15,Secondary,Upland,,,,,USGS, July 2007
BCA16,Major,Wet prairie,9.61,9.73,9.52,6,USGS, August 2005
BCA17,Major,Ridge or sawgrass and emergent marsh,12.41,12.54,12.24,6,USACE, October 2009
BCA17,Secondary,Exotics and cattail,12.01,12.09,11.94,3,USACE, October 2009
BCA18,Major,Wet prairie,11.28,11.41,11.08,6,USGS, July 2007
BCA18,Secondary,Other (mostly wetland shrub and wetland forested),12.29,12.4,12.17,3,USGS, July 2007
BCA19,Major,Wet prairie,0.21,0.31,0.05,6,USGS, July 2007
BCA19,Secondary,Other (mostly wetland shrub and wetland forested),-0.16,-0.05,-0.31,3,USGS, July 2007
BCA2,Major,Other (mostly wetland shrub and wetland forested),11.46,11.96,10.88,6,USGS, August 2005
BCA2,Secondary,Ridge or sawgrass and emergent marsh,12.26,12.38,12.16,3,USGS, August 2005
BCA20,Major,Wet prairie,3.51,3.58,3.43,6,USGS, July 2007
BCA20,Secondary,Ridge or sawgrass and emergent marsh,2.55,2.76,2.42,3,USGS, July 2007
